Country Name,Year,GDP Per Capita (Current US$)
Afghanistan,2000,
Albania,2000,1175.788981
Algeria,2000,1757.011974
American Samoa,2000,
Andorra,2000,21432.97646
Angola,2000,606.2722922
Antigua and Barbuda,2000,10094.75906
Argentina,2000,7669.273709
Armenia,2000,621.4248263
Aruba,2000,20619.56585
Australia,2000,21665.11545
Austria,2000,24517.26745
Azerbaijan,2000,655.0974326
"Bahamas, The",2000,21241.16539
Bahrain,2000,13590.52105
Bangladesh,2000,406.5317405
Barbados,2000,11568.49594
Belarus,2000,1273.049124
Belgium,2000,23207.40591
Belize,2000,3364.464523
Benin,2000,369.7008681
Bermuda,2000,56284.16865
Bhutan,2000,778.391266
Bolivia,2000,1007.002869
Bosnia and Herzegovina,2000,1451.664002
Botswana,2000,3333.17955
Brazil,2000,3728.50801
British Virgin Islands,2000,
Brunei Darussalam,2000,18154.83493
Bulgaria,2000,1609.280586
Burkina Faso,2000,226.4759423
Burundi,2000,128.6355365
Cabo Verde,2000,1229.044456
Cambodia,2000,299.5622376
Cameroon,2000,583.0948382
Canada,2000,24124.16917
Cayman Islands,2000,
Central African Republic,2000,245.4343849
Chad,2000,166.0080155
Channel Islands,2000,43299.40114
Chile,2000,5229.177098
China,2000,959.3721081
Colombia,2000,2472.19777
Comoros,2000,372.1890022
"Congo, Dem. Rep.",2000,397.264871
"Congo, Rep.",2000,1035.584462
Costa Rica,2000,3808.356898
Cote d'Ivoire,2000,648.8107641
Croatia,2000,4919.628069
Cuba,2000,2749.463492
Curacao,2000,
Cyprus,2000,14672.88206
Czech Republic,2000,5994.528277
Denmark,2000,30743.55917
Djibouti,2000,762.8838243
Dominica,2000,4819.900039
Dominican Republic,2000,2802.419715
Ecuador,2000,1451.290776
"Egypt, Arab Rep.",2000,1461.018259
El Salvador,2000,2259.888269
Equatorial Guinea,2000,1970.251229
Eritrea,2000,199.8131951
Estonia,2000,4070.031904
Ethiopia,2000,124.0509505
Faroe Islands,2000,22850.44296
Fiji,2000,2076.013308
Finland,2000,24253.25042
France,2000,22465.64184
French Polynesia,2000,14530.22602
Gabon,2000,4115.036784
"Gambia, The",2000,637.1055215
Georgia,2000,691.9977101
Germany,2000,23718.7467
Ghana,2000,264.7025762
Gibraltar,2000,
Greece,2000,12042.95373
Greenland,2000,19004.00345
Grenada,2000,5117.539563
Guam,2000,
Guatemala,2000,1650.22565
Guinea,2000,340.414229
Guinea-Bissau,2000,281.4036603
Guyana,2000,960.1867601
Haiti,2000,462.4805442
Honduras,2000,1137.824518
"Hong Kong SAR, China",2000,25756.66378
Hungary,2000,4623.406712
Iceland,2000,31737.47061
India,2000,452.4135847
Indonesia,2000,780.0920781
"Iran, Islamic Rep.",2000,1664.26127
Iraq,2000,
Ireland,2000,26241.91849
Isle of Man,2000,20358.66729
Israel,2000,21052.10432
Italy,2000,20051.2426
Jamaica,2000,3448.448874
Japan,2000,38532.04088
Jordan,2000,1774.088393
Kazakhstan,2000,1229.000958
Kenya,2000,408.9818683
Kiribati,2000,796.7937634
"Korea, Dem. People’s Rep.",2000,
"Korea, Rep.",2000,11947.57725
Kosovo,2000,1087.762401
Kuwait,2000,19545.19345
Kyrgyz Republic,2000,279.6205233
Lao PDR,2000,324.0196947
Latvia,2000,3352.731296
Lebanon,2000,5334.880244
Lesotho,2000,478.0106195
Liberia,2000,182.9427573
Libya,2000,7170.379234
Liechtenstein,2000,74633.52872
Lithuania,2000,3297.354701
Luxembourg,2000,48317.66626
"Macao SAR, China",2000,14127.56667
"Macedonia, FYR",2000,1875.127132
Madagascar,2000,246.2826349
Malawi,2000,155.7643582
Malaysia,2000,4004.557191
Maldives,2000,2182.997011
Mali,2000,267.4164347
Malta,2000,11291.58423
Marshall Islands,2000,2126.832308
Mauritania,2000,477.1129881
Mauritius,2000,3861.032414
Mexico,2000,6649.716383
"Micronesia, Fed. Sts.",2000,2170.960626
Moldova,2000,354.0037319
Monaco,2000,82537.44647
Mongolia,2000,474.2129405
Montenegro,2000,1627.042893
Morocco,2000,1328.172963
Mozambique,2000,274.6562556
Myanmar,2000,186.8073255
Namibia,2000,2059.409015
Nauru,2000,
Nepal,2000,231.4329676
Netherlands,2000,25921.12794
New Caledonia,2000,12579.59511
New Zealand,2000,13641.10272
Nicaragua,2000,1016.021552
Niger,2000,160.2183423
Nigeria,2000,377.5002693
Northern Mariana Islands,2000,
Norway,2000,38146.71539
Oman,2000,8710.987805
Pakistan,2000,534.915837
Palau,2000,7786.586002
Panama,2000,4062.438603
Papua New Guinea,2000,655.2502302
Paraguay,2000,1545.625548
Peru,2000,1996.719997
Philippines,2000,1039.701796
Poland,2000,4492.727604
Portugal,2000,11502.39681
Puerto Rico,2000,16192.1296
Qatar,2000,29926.36335
Romania,2000,1668.162731
Russian Federation,2000,1771.586602
Rwanda,2000,216.2759036
Samoa,2000,1540.65373
San Marino,2000,28224.20286
Sao Tome and Principe,2000,
Saudi Arabia,2000,8808.875367
Senegal,2000,474.5771245
Serbia,2000,870.1365252
Seychelles,2000,7578.851053
Sierra Leone,2000,156.5918666
Singapore,2000,23792.60707
Sint Maarten (Dutch part),2000,
Slovak Republic,2000,5402.929754
Slovenia,2000,10227.73677
Solomon Islands,2000,1055.216749
Somalia,2000,
South Africa,2000,3099.131614
South Sudan,2000,
Spain,2000,14787.75606
Sri Lanka,2000,875.412178
St. Kitts and Nevis,2000,9223.756223
St. Lucia,2000,4975.472098
St. Martin (French part),2000,
St. Vincent and the Grenadines,2000,3672.669305
Sudan,2000,352.5015707
Suriname,2000,1855.77231
Swaziland,2000,1602.93246
Sweden,2000,29283.00505
Switzerland,2000,37813.23426
Syrian Arab Republic,2000,1181.719202
Tajikistan,2000,139.1091434
Tanzania,2000,308.4062816
Thailand,2000,2016.041015
Timor-Leste,2000,434.37974
Togo,2000,265.5016597
Tonga,2000,2067.085049
Trinidad and Tobago,2000,6430.967549
Tunisia,2000,2247.912995
Turkey,2000,4215.162413
Turkmenistan,2000,645.2771015
Turks and Caicos Islands,2000,
Tuvalu,2000,1458.971977
Uganda,2000,260.6844737
Ukraine,2000,635.7128467
United Arab Emirates,2000,34207.53895
United Kingdom,2000,27769.93125
United States,2000,36449.85512
Uruguay,2000,6871.903885
Uzbekistan,2000,558.221144
Vanuatu,2000,1469.888862
"Venezuela, RB",2000,4784.87158
Vietnam,2000,433.3337078
Virgin Islands (U.S.),2000,
West Bank and Gaza,2000,1476.171852
"Yemen, Rep.",2000,541.5129915
Zambia,2000,340.1613797
Zimbabwe,2000,535.1974215
Afghanistan,2005,257.1756945
Albania,2005,2709.142931
Algeria,2005,3102.037384
American Samoa,2005,
Andorra,2005,39991.32507
Angola,2005,1576.162801
Antigua and Barbuda,2005,12079.8657
Argentina,2005,5096.258332
Armenia,2005,1625.407769
Aruba,2005,23302.83199
Australia,2005,33982.95043
Austria,2005,38242.04252
Azerbaijan,2005,1578.36733
"Bahamas, The",2005,23405.87955
Bahrain,2005,18418.07267
Bangladesh,2005,485.8528881
Barbados,2005,14223.65813
Belarus,2005,3126.367778
Belgium,2005,36967.25918
Belize,2005,3933.30443
Benin,2005,587.0802124
Bermuda,2005,75882.03386
Bhutan,2005,1257.54864
Bolivia,2005,1046.427843
Bosnia and Herzegovina,2005,2928.26359
Botswana,2005,5327.853518
Brazil,2005,4730.653468
British Virgin Islands,2005,
Brunei Darussalam,2005,26337.91811
Bulgaria,2005,3852.977756
Burkina Faso,2005,406.673556
Burundi,2005,140.8151356
Cabo Verde,2005,2049.615979
Cambodia,2005,472.4488559
Cameroon,2005,915.0912877
Canada,2005,36189.58838
Cayman Islands,2005,
Central African Republic,2005,332.9466401
Chad,2005,660.1815568
Channel Islands,2005,57209.24916
Chile,2005,7728.611897
China,2005,1753.4178
Colombia,2005,3386.025444
Comoros,2005,614.8613273
"Congo, Dem. Rep.",2005,213.310459
"Congo, Rep.",2005,1737.611546
Costa Rica,2005,4697.008923
Cote d'Ivoire,2005,942.2163849
Croatia,2005,10224.24059
Cuba,2005,3786.875329
Curacao,2005,
Cyprus,2005,25324.48666
Czech Republic,2005,13317.72983
Denmark,2005,48816.83586
Djibouti,2005,910.3645074
Dominica,2005,5250.352561
Dominican Republic,2005,3681.060301
Ecuador,2005,3021.942767
"Egypt, Arab Rep.",2005,1196.733309
El Salvador,2005,2874.257256
Equatorial Guinea,2005,13129.59818
Eritrea,2005,262.0745298
Estonia,2005,10338.31726
Ethiopia,2005,161.8769539
Faroe Islands,2005,35808.82986
Fiji,2005,3658.617477
Finland,2005,38969.17163
France,2005,34879.72633
French Polynesia,2005,
Gabon,2005,6865.323497
"Gambia, The",2005,433.2915831
Georgia,2005,1530.057521
Germany,2005,34696.62092
Ghana,2005,501.7240746
Gibraltar,2005,
Greece,2005,22551.73574
Greenland,2005,28985.39087
Grenada,2005,6754.381175
Guam,2005,
Guatemala,2005,2064.047524
Guinea,2005,303.7609661
Guinea-Bissau,2005,401.147289
Guyana,2005,1110.957717
Haiti,2005,465.3099364
Honduras,2005,1405.780927
"Hong Kong SAR, China",2005,26649.7508
Hungary,2005,11161.72441
Iceland,2005,56445.53614
India,2005,729.000727
Indonesia,2005,1263.481441
"Iran, Islamic Rep.",2005,3135.187408
Iraq,2005,1848.968201
Ireland,2005,50886.82729
Isle of Man,2005,36980.11308
Israel,2005,20611.17931
Italy,2005,31959.26215
Jamaica,2005,4238.315843
Japan,2005,37217.64873
Jordan,2005,2360.530244
Kazakhstan,2005,3771.278957
Kenya,2005,530.0821579
Kiribati,2005,1214.504048
"Korea, Dem. People’s Rep.",2005,
"Korea, Rep.",2005,18657.52125
Kosovo,2005,2190.552079
Kuwait,2005,35694.38171
Kyrgyz Republic,2005,476.55213
Lao PDR,2005,476.1624042
Latvia,2005,7558.742006
Lebanon,2005,5339.42388
Lesotho,2005,873.5655336
Liberia,2005,168.2067267
Libya,2005,8158.889554
Liechtenstein,2005,104994.0183
Lithuania,2005,7863.162009
Luxembourg,2005,79494.20627
"Macao SAR, China",2005,25829.991
"Macedonia, FYR",2005,3063.595426
Madagascar,2005,275.5158271
Malawi,2005,286.7851511
Malaysia,2005,5564.173231
Maldives,2005,3488.493769
Mali,2005,484.8106143
Malta,2005,15835.34667
Marshall Islands,2005,2645.981405
Mauritania,2005,692.5759654
Mauritius,2005,5116.045424
Mexico,2005,7893.962197
"Micronesia, Fed. Sts.",2005,2352.639409
Moldova,2005,831.2052862
Monaco,2005,126599.4033
Mongolia,2005,998.8222718
Montenegro,2005,3674.52653
Morocco,2005,2023.252997
Mozambique,2005,365.5968499
Myanmar,2005,239.8128119
Namibia,2005,3582.25982
Nauru,2005,
Nepal,2005,318.7480617
Netherlands,2005,41577.16009
New Caledonia,2005,
New Zealand,2005,27750.89515
Nicaragua,2005,1175.116443
Niger,2005,252.5046155
Nigeria,2005,804.0059952
Northern Mariana Islands,2005,
Norway,2005,66775.3944
Oman,2005,12398.59435
Pakistan,2005,714.03681
Palau,2005,9710.152208
Panama,2005,4933.084985
Papua New Guinea,2005,799.4164059
Paraguay,2005,1507.145951
Peru,2005,2754.780428
Philippines,2005,1196.539849
Poland,2005,8021.251569
Portugal,2005,18784.9485
Puerto Rico,2005,21959.32271
Qatar,2005,53207.33365
Romania,2005,4676.315183
Russian Federation,2005,5323.473877
Rwanda,2005,286.5674904
Samoa,2005,2587.524
San Marino,2005,47035.65435
Sao Tome and Principe,2005,824.0121598
Saudi Arabia,2005,13273.6535
Senegal,2005,772.6524454
Serbia,2005,3528.131008
Seychelles,2005,11086.89089
Sierra Leone,2005,320.9953668
Singapore,2005,29869.85398
Sint Maarten (Dutch part),2005,
Slovak Republic,2005,11669.41975
Slovenia,2005,18169.18091
Solomon Islands,2005,881.9616184
Somalia,2005,
South Africa,2005,5453.192782
South Sudan,2005,
Spain,2005,26510.71745
Sri Lanka,2005,1259.807591
St. Kitts and Nevis,2005,11053.74474
St. Lucia,2005,5723.344818
St. Martin (French part),2005,
St. Vincent and the Grenadines,2005,5064.218215
Sudan,2005,661.6262771
Suriname,2005,3645.850509
Swaziland,2005,2812.588785
Sweden,2005,43085.35315
Switzerland,2005,54797.54663
Syrian Arab Republic,2005,1591.530192
Tajikistan,2005,339.7644428
Tanzania,2005,446.157894
Thailand,2005,2874.386274
Timor-Leste,2005,501.4292265
Togo,2005,379.1809289
Tonga,2005,2599.457988
Trinidad and Tobago,2005,12323.13656
Tunisia,2005,3217.968646
Turkey,2005,7117.233241
Turkmenistan,2005,1706.956726
Turks and Caicos Islands,2005,
Tuvalu,2005,2252.847008
Uganda,2005,321.4357614
Ukraine,2005,1828.717626
United Arab Emirates,2005,40298.52422
United Kingdom,2005,41524.06554
United States,2005,44307.92058
Uruguay,2005,5220.957396
Uzbekistan,2005,546.7768502
Vanuatu,2005,1886.38831
"Venezuela, RB",2005,5435.742203
Vietnam,2005,699.4997775
Virgin Islands (U.S.),2005,
West Bank and Gaza,2005,1455.187878
"Yemen, Rep.",2005,817.0822744
Zambia,2005,691.8094586
Zimbabwe,2005,443.240136
Afghanistan,2010,569.9407288
Albania,2010,4094.358832
Algeria,2010,4473.486446
American Samoa,2010,
Andorra,2010,39641.74601
Angola,2010,3886.479354
Antigua and Barbuda,2010,13017.31039
Argentina,2010,10332.03237
Armenia,2010,3124.784018
Aruba,2010,24289.14152
Australia,2010,51845.65486
Austria,2010,46659.84082
Azerbaijan,2010,5842.805784
"Bahamas, The",2010,21920.51659
Bahrain,2010,20386.01756
Bangladesh,2010,760.3319352
Barbados,2010,15906.18932
Belarus,2010,5818.854859
Belgium,2010,44382.81899
Belize,2010,4348.019539
Benin,2010,732.9536227
Bermuda,2010,88207.32756
Bhutan,2010,2201.293078
Bolivia,2010,1981.166313
Bosnia and Herzegovina,2010,4475.08813
Botswana,2010,6243.998831
Brazil,2010,11121.42095
British Virgin Islands,2010,
Brunei Darussalam,2010,34852.02398
Bulgaria,2010,6843.263289
Burkina Faso,2010,575.0118818
Burundi,2010,214.2309908
Cabo Verde,2010,3393.927212
Cambodia,2010,782.6927899
Cameroon,2010,1147.242347
Canada,2010,47445.76193
Cayman Islands,2010,
Central African Republic,2010,446.8002046
Chad,2010,895.8780349
Channel Islands,2010,
Chile,2010,12785.05187
China,2010,4560.512487
Colombia,2010,6250.6545
Comoros,2010,759.2631309
"Congo, Dem. Rep.",2010,311.247896
"Congo, Rep.",2010,2953.185008
Costa Rica,2010,8199.427257
Cote d'Ivoire,2010,1236.085198
Croatia,2010,13509.18582
Cuba,2010,5688.666732
Curacao,2010,
Cyprus,2010,30818.46396
Czech Republic,2010,19763.9638
Denmark,2010,57647.66876
Djibouti,2010,1358.4605
Dominica,2010,6938.952146
Dominican Republic,2010,5451.068061
Ecuador,2010,4657.301737
"Egypt, Arab Rep.",2010,2668.035988
El Salvador,2010,3547.070983
Equatorial Guinea,2010,22366.2939
Eritrea,2010,451.4266933
Estonia,2010,14639.4733
Ethiopia,2010,341.8589562
Faroe Islands,2010,47381.52276
Fiji,2010,3651.958291
Finland,2010,46205.16601
France,2010,40705.76623
French Polynesia,2010,
Gabon,2010,9312.049463
"Gambia, The",2010,562.5681661
Georgia,2010,2964.477048
Germany,2010,41788.04479
Ghana,2010,1323.099141
Gibraltar,2010,
Greece,2010,26919.36164
Greenland,2010,40193.66603
Grenada,2010,7365.666659
Guam,2010,
Guatemala,2010,2805.973937
Guinea,2010,430.0564739
Guinea-Bissau,2010,517.8891758
Guyana,2010,2998.941274
Haiti,2010,662.2793812
Honduras,2010,2096.202949
"Hong Kong SAR, China",2010,32549.99823
Hungary,2010,13025.7948
Iceland,2010,41620.06745
India,2010,1345.721383
Indonesia,2010,3125.219945
"Iran, Islamic Rep.",2010,6299.918738
Iraq,2010,4487.366289
Ireland,2010,48541.47764
Isle of Man,2010,64275.01244
Israel,2010,30661.99004
Italy,2010,35851.50807
Jamaica,2010,4902.672692
Japan,2010,44507.66371
Jordan,2010,4054.270668
Kazakhstan,2010,9070.649972
Kenya,2010,991.8505451
Kiribati,2010,1493.218696
"Korea, Dem. People’s Rep.",2010,
"Korea, Rep.",2010,22151.20889
Kosovo,2010,3283.211938
Kuwait,2010,37725.14121
Kyrgyz Republic,2010,880.0377751
Lao PDR,2010,1138.526082
Latvia,2010,11329.89512
Lebanon,2010,8763.795964
Lesotho,2010,1189.776151
Liberia,2010,326.6044381
Libya,2010,11933.77926
Liechtenstein,2010,140102.7257
Lithuania,2010,11988.75797
Luxembourg,2010,103267.2765
"Macao SAR, China",2010,52604.32713
"Macedonia, FYR",2010,4561.177546
Madagascar,2010,414.1427872
Malawi,2010,471.0587532
Malaysia,2010,9069.030717
Maldives,2010,6330.79498
Mali,2010,704.0646209
Malta,2010,21087.79469
Marshall Islands,2010,3142.429476
Mauritania,2010,1207.827458
Mauritius,2010,8000.376432
Mexico,2010,8861.49372
"Micronesia, Fed. Sts.",2010,2838.448547
Moldova,2010,1631.535832
Monaco,2010,145221.1916
Mongolia,2010,2650.34682
Montenegro,2010,6681.927148
Morocco,2010,2857.673414
Mozambique,2010,417.5012315
Myanmar,2010,957.6247442
Namibia,2010,5143.130676
Nauru,2010,4912.600857
Nepal,2010,595.4275198
Netherlands,2010,50341.25192
New Caledonia,2010,
New Zealand,2010,33692.1696
Nicaragua,2010,1523.481469
Niger,2010,351.0062183
Nigeria,2010,2314.963537
Northern Mariana Islands,2010,
Norway,2010,87646.2701
Oman,2010,19920.64957
Pakistan,2010,1043.300205
Palau,2010,8978.993649
Panama,2010,7987.060372
Papua New Guinea,2010,1418.923591
Paraguay,2010,3225.591754
Peru,2010,5021.249374
Philippines,2010,2145.240007
Poland,2010,12599.52486
Portugal,2010,22539.99601
Puerto Rico,2010,26435.73308
Qatar,2010,70870.22658
Romania,2010,8297.483621
Russian Federation,2010,10674.98771
Rwanda,2010,553.5974576
Samoa,2010,3530.573994
San Marino,2010,
Sao Tome and Principe,2010,1155.512951
Saudi Arabia,2010,18753.98123
Senegal,2010,996.7074883
Serbia,2010,5411.877404
Seychelles,2010,10804.68447
Sierra Leone,2010,453.0220407
Singapore,2010,46569.67951
Sint Maarten (Dutch part),2010,
Slovak Republic,2010,16601.60197
Slovenia,2010,23438.86747
Solomon Islands,2010,1276.348725
Somalia,2010,
South Africa,2010,7392.867774
South Sudan,2010,1563.904195
Spain,2010,30737.83227
Sri Lanka,2010,2819.651309
St. Kitts and Nevis,2010,13466.82783
St. Lucia,2010,7000.641583
St. Martin (French part),2010,
St. Vincent and the Grenadines,2010,6231.713226
Sudan,2010,1421.532942
Suriname,2010,8430.905965
Swaziland,2010,3793.659464
Sweden,2010,52076.43052
Switzerland,2010,74277.12051
Syrian Arab Republic,2010,
Tajikistan,2010,744.1842273
Tanzania,2010,708.5219323
Thailand,2010,5111.909202
Timor-Leste,2010,884.2761079
Togo,2010,496.4824942
Tonga,2010,3554.075455
Trinidad and Tobago,2010,16684.0086
Tunisia,2010,4176.59159
Turkey,2010,10111.19251
Turkmenistan,2010,4479.012354
Turks and Caicos Islands,2010,
Tuvalu,2010,3238.375763
Uganda,2010,608.954866
Ukraine,2010,2965.142365
United Arab Emirates,2010,34341.91129
United Kingdom,2010,38708.67629
United States,2010,48374.08679
Uruguay,2010,11938.27505
Uzbekistan,2010,1377.08214
Vanuatu,2010,2965.75223
"Venezuela, RB",2010,13581.35338
Vietnam,2010,1333.583524
Virgin Islands (U.S.),2010,
West Bank and Gaza,2010,2338.719877
"Yemen, Rep.",2010,1310.053671
Zambia,2010,1456.126826
Zimbabwe,2010,674.2686954
Afghanistan,2013,653.3474881
Albania,2013,4412.345578
Algeria,2013,5491.614414
American Samoa,2013,
Andorra,2013,42804.20264
Angola,2013,5327.148892
Antigua and Barbuda,2013,13342.085
Argentina,2013,13027.20482
Armenia,2013,3716.828923
Aruba,2013,
Australia,2013,67652.68321
Austria,2013,50504.71532
Azerbaijan,2013,7811.621418
"Bahamas, The",2013,22554.45412
Bahrain,2013,24113.52484
Bangladesh,2013,954.3963997
Barbados,2013,15473.09806
Belarus,2013,7722.123351
Belgium,2013,46508.11872
Belize,2013,4723.594355
Benin,2013,887.0899667
Bermuda,2013,85748.06541
Bhutan,2013,2383.04473
Bolivia,2013,2948.032472
Bosnia and Herzegovina,2013,4748.040692
Botswana,2013,6806.658939
Brazil,2013,12071.77799
British Virgin Islands,2013,
Brunei Darussalam,2013,43970.53194
Bulgaria,2013,7674.860559
Burkina Faso,2013,698.3350349
Burundi,2013,259.3652082
Cabo Verde,2013,3648.936321
Cambodia,2013,1024.60887
Cameroon,2013,1331.200021
Canada,2013,52266.17568
Cayman Islands,2013,
Central African Republic,2013,322.3665933
Chad,2013,985.095322
Channel Islands,2013,
Chile,2013,15764.75545
China,2013,7077.770594
Colombia,2013,8030.690861
Comoros,2013,823.0230023
"Congo, Dem. Rep.",2013,413.6957984
"Congo, Rep.",2013,3205.457783
Costa Rica,2013,10547.21016
Cote d'Ivoire,2013,1445.910582
Croatia,2013,13574.97804
Cuba,2013,6789.849597
Curacao,2013,
Cyprus,2013,27907.96736
Czech Republic,2013,19916.01939
Denmark,2013,60361.73877
Djibouti,2013,1682.948665
Dominica,2013,7061.27558
Dominican Republic,2013,6026.989889
Ecuador,2013,6074.181971
"Egypt, Arab Rep.",2013,3264.450063
El Salvador,2013,3998.739499
Equatorial Guinea,2013,27528.65799
Eritrea,2013,
Estonia,2013,19029.77923
Ethiopia,2013,503.9026066
Faroe Islands,2013,54117.84441
Fiji,2013,4758.892782
Finland,2013,49638.07713
France,2013,42571.19799
French Polynesia,2013,
Gabon,2013,10658.77273
"Gambia, The",2013,484.1126877
Georgia,2013,4274.376873
Germany,2013,45688.39307
Ghana,2013,1827.101368
Gibraltar,2013,
Greece,2013,21874.8195
Greenland,2013,42827.80827
Grenada,2013,7956.141842
Guam,2013,
Guatemala,2013,3432.017458
Guinea,2013,521.5389059
Guinea-Bissau,2013,584.2820032
Guyana,2013,3928.87895
Haiti,2013,810.3073259
Honduras,2013,2340.684866
"Hong Kong SAR, China",2013,38352.53492
Hungary,2013,13613.60147
Iceland,2013,47493.24904
India,2013,1456.201628
Indonesia,2013,3631.672694
"Iran, Islamic Rep.",2013,6631.29827
Iraq,2013,6879.69779
Ireland,2013,52034.76822
Isle of Man,2013,78119.05987
Israel,2013,36393.66932
Italy,2013,35370.27441
Jamaica,2013,5259.042342
Japan,2013,40488.2432
Jordan,2013,4656.219807
Kazakhstan,2013,13890.85601
Kenya,2013,1261.092863
Kiribati,2013,1724.21876
"Korea, Dem. People’s Rep.",2013,
"Korea, Rep.",2013,25997.88105
Kosovo,2013,3890.300665
Kuwait,2013,48463.15167
Kyrgyz Republic,2013,1282.437162
Lao PDR,2013,1700.525305
Latvia,2013,15033.15295
Lebanon,2013,8388.973293
Lesotho,2013,1199.874106
Liberia,2013,453.339457
Libya,2013,
Liechtenstein,2013,172563.0641
Lithuania,2013,15692.01291
Luxembourg,2013,113726.639
"Macao SAR, China",2013,90746.10886
"Macedonia, FYR",2013,5219.535681
Madagascar,2013,462.4600105
Malawi,2013,335.5235807
Malaysia,2013,10971.41558
Maldives,2013,7112.33575
Mali,2013,772.2501095
Malta,2013,24056.61245
Marshall Islands,2013,3618.231253
Mauritania,2013,1457.836387
Mauritius,2013,9637.00265
Mexico,2013,10198.6473
"Micronesia, Fed. Sts.",2013,3044.077209
Moldova,2013,2243.979662
Monaco,2013,
Mongolia,2013,4400.614515
Montenegro,2013,7186.813592
Morocco,2013,3141.725373
Mozambique,2013,605.2344447
Myanmar,2013,1134.928443
Namibia,2013,5417.800314
Nauru,2013,10726.07872
Nepal,2013,696.732684
Netherlands,2013,51574.48942
New Caledonia,2013,
New Zealand,2013,42928.09633
Nicaragua,2013,1829.024989
Niger,2013,417.6703093
Nigeria,2013,2979.84415
Northern Mariana Islands,2013,
Norway,2013,102910.435
Oman,2013,20204.92954
Pakistan,2013,1276.092448
Palau,2013,10932.64496
Panama,2013,11786.63317
Papua New Guinea,2013,2108.831643
Paraguay,2013,4479.955052
Peru,2013,6580.979053
Philippines,2013,2786.014701
Poland,2013,13780.54911
Portugal,2013,21618.73534
Puerto Rico,2013,28703.73237
Qatar,2013,94574.25505
Romania,2013,9585.266593
Russian Federation,2013,15552.05099
Rwanda,2013,678.9981669
Samoa,2013,4179.597681
San Marino,2013,
Sao Tome and Principe,2013,1660.903193
Saudi Arabia,2013,24646.02087
Senegal,2013,1041.167179
Serbia,2013,6353.826383
Seychelles,2013,15695.89834
Sierra Leone,2013,796.3190607
Singapore,2013,55617.6125
Sint Maarten (Dutch part),2013,
Slovak Republic,2013,18191.61279
Slovenia,2013,23150.31799
Solomon Islands,2013,1890.000903
Somalia,2013,521.2230393
South Africa,2013,6910.665338
South Sudan,2013,1157.486958
Spain,2013,29370.66387
Sri Lanka,2013,3611.341987
St. Kitts and Nevis,2013,14514.72144
St. Lucia,2013,7229.928884
St. Martin (French part),2013,
St. Vincent and the Grenadines,2013,6596.788974
Sudan,2013,1871.108979
Suriname,2013,9618.350531
Swaziland,2013,3686.879283
Sweden,2013,60283.24522
Switzerland,2013,84658.88768
Syrian Arab Republic,2013,
Tajikistan,2013,1048.666906
Tanzania,2013,909.3301412
Thailand,2013,6225.052283
Timor-Leste,2013,1111.799395
Togo,2013,588.9875461
Tonga,2013,4274.226824
Trinidad and Tobago,2013,19607.94918
Tunisia,2013,4248.891276
Turkey,2013,10800.54235
Turkmenistan,2013,7480.321678
Turks and Caicos Islands,2013,
Tuvalu,2013,3880.352322
Uganda,2013,683.3431532
Ukraine,2013,4029.715504
United Arab Emirates,2013,42986.66461
United Kingdom,2013,42407.37101
United States,2013,52749.91124
Uruguay,2013,16881.384
Uzbekistan,2013,1907.551233
Vanuatu,2013,3167.055303
"Venezuela, RB",2013,12265.03114
Vietnam,2013,1907.564382
Virgin Islands (U.S.),2013,
West Bank and Gaza,2013,2992.200995
"Yemen, Rep.",2013,1582.849252
Zambia,2013,1839.518709
Zimbabwe,2013,905.5003218
