Country Name,2000 [YR2000],2005 [YR2005],2010 [YR2010],2013 [YR2013]
Afghanistan,19701940,24399948,27962207,30682500
Albania,3089027,3011487,2913021,2896652
Algeria,31183658,33267887,36036159,38186135
American Samoa,57522,59117,55636,55302
Andorra,65399,81223,84419,75902
Angola,15058638,17912942,21219954,23448202
Antigua and Barbuda,77648,82565,87233,89985
Argentina,37057453,39145491,41222875,42538304
Armenia,3076098,3014917,2963496,2992192
Aruba,90858,100031,101597,102921
Australia,19153000,20394800,22031750,23117353
Austria,8011566,8227829,8363404,8479375
Azerbaijan,8048600,8391850,9054332,9416801
"Bahamas, The",297891,329243,360830,377841
Bahrain,666855,867014,1261319,1349427
Bangladesh,131280739,142929979,151616777,157157394
Barbados,269838,274013,279566,282503
Belarus,10005000,9663000,9490000,9466000
Belgium,10251250,10478617,10895586,11182817
Belize,247312,283279,321609,344193
Benin,6949366,8182362,9509798,10322232
Bermuda,61833,64154,65124,65001
Bhutan,564187,651163,720246,754637
Bolivia,8339512,9125405,9918245,10399931
Bosnia and Herzegovina,3792878,3833377,3835258,3823533
Botswana,1736579,1864003,2047831,2176510
Brazil,175786441,188479240,198614208,204259377
British Virgin Islands,20643,23169,27223,29058
Brunei Darussalam,330554,361889,393302,411499
Bulgaria,8170172,7739900,7395599,7265115
Burkina Faso,11607944,13421929,15632066,17084554
Burundi,6767073,7934213,9461117,10465959
Cabo Verde,438737,474224,490379,507258
Cambodia,12197905,13320058,14363586,15078564
Cameroon,15927713,18126999,20590666,22211166
Canada,30769700,32312000,34005274,35155499
Cayman Islands,41685,48623,55509,58369
Central African Republic,3726048,4055608,4444973,4710678
Chad,8343321,10067932,11896380,13145788
Channel Islands,148725,154298,159583,162138
Chile,15170387,16096571,17015048,17575833
China,1262645000,1303720000,1337705000,1357380000
Colombia,40403959,43285636,45918101,47342363
Comoros,547696,618632,698695,751697
"Congo, Dem. Rep.",48048664,56089536,65938712,72552861
"Congo, Rep.",3109269,3503086,4066078,4394334
Costa Rica,3925450,4247843,4545273,4706433
Cote d'Ivoire,16517948,18132702,20131707,21622490
Croatia,4426000,4442000,4417781,4255689
Cuba,11116787,11261052,11308133,11362505
Curacao,133860,137658,148703,153822
Cyprus,943287,1032586,1103685,1141652
Czech Republic,10255063,10211216,10474410,10514272
Denmark,5339616,5419432,5547683,5614932
Djibouti,722562,778406,830802,864554
Dominica,69679,70542,71167,72005
Dominican Republic,8562623,9237565,9897983,10281408
Ecuador,12628596,13735232,14934692,15661312
"Egypt, Arab Rep.",68334905,74942115,82040994,87613909
El Salvador,5811836,5947206,6038306,6089644
Equatorial Guinea,530896,625866,728710,797082
Eritrea,3535156,4191273,4689664,..
Estonia,1396985,1354775,1331475,1317997
Ethiopia,66443603,76608431,87561814,94558374
Faroe Islands,46491,48337,48567,48292
Fiji,811223,821820,859952,880487
Finland,5176209,5246096,5363352,5438972
France,60912498,63179356,65027512,65972097
French Polynesia,237267,254884,268065,276766
Gabon,1231548,1377777,1541936,1650351
"Gambia, The",1228863,1440542,1693002,1866878
Georgia,4418300,4190000,3926000,3776000
Germany,82211508,82469422,81776930,82132753
Ghana,18824994,21389514,24317734,26164432
Gibraltar,27351,29080,30732,31720
Greece,10805808,10987314,11121341,10965211
Greenland,56200,56935,56905,56483
Grenada,101620,102951,104677,105902
Guam,155328,158401,159440,165121
Guatemala,11688660,13183505,14732261,15690793
Guinea,8799165,9669023,11012406,11948726
Guinea-Bissau,1315455,1462784,1634196,1757138
Guyana,742218,742495,753362,761033
Haiti,8549202,9263409,9999617,10431249
Honduras,6243080,6880181,7503875,7849059
"Hong Kong SAR, China",6665000,6813200,7024200,7187500
Hungary,10210971,10087065,10000023,9893082
Iceland,281205,296734,318041,323764
India,1053481072,1144326293,1230984504,1279498874
Indonesia,211540428,226254703,241613126,251268276
"Iran, Islamic Rep.",65850062,70122115,74253373,77152445
Iraq,23574751,27017712,30868156,34107366
Ireland,3805174,4159914,4560155,4598294
Isle of Man,76806,80345,84327,86462
Israel,6289000,6930100,7623600,8059500
Italy,56942108,57969484,59277417,60233948
Jamaica,2589389,2643601,2690824,2714669
Japan,126843000,127773000,128070000,127338621
Jordan,4767476,5332982,6517912,7214832
Kazakhstan,14883626,15147029,16321581,17035275
Kenya,31065820,35349040,40328313,43692881
Kiribati,84406,92329,102648,108544
"Korea, Dem. People’s Rep.",22840218,23813324,24500506,24895705
"Korea, Rep.",47008111,48138077,49410366,50219669
Kosovo,1700000,1705780,1775680,1818117
Kuwait,1929470,2263604,3059473,3593689
Kyrgyz Republic,4898400,5162600,5447900,5719600
Lao PDR,5342879,5745012,6260544,6579985
Latvia,2367550,2238799,2097555,2012647
Lebanon,3235380,3986865,4337156,5286990
Lesotho,1856225,1925844,2010586,2083061
Liberia,2891968,3269786,3957990,4293692
Libya,5337264,5801543,6265697,6265987
Liechtenstein,33282,34852,36276,37040
Lithuania,3499536,3322528,3097282,2957689
Luxembourg,436300,465158,506953,543360
"Macao SAR, China",431907,468149,534626,568056
"Macedonia, FYR",2012051,2042894,2062443,2072543
Madagascar,15744811,18290394,21079532,22924557
Malawi,11193230,12747846,14769824,16190126
Malaysia,23420751,25796124,28119500,29465372
Maldives,286000,321000,367000,393000
Mali,11046926,12881384,15167286,16592097
Malta,381363,403834,414508,423374
Marshall Islands,52161,52058,52428,52786
Mauritania,2711421,3154087,3591400,3872684
Mauritius,1186873,1228254,1250400,1258653
Mexico,102808590,109747906,118617542,123740109
"Micronesia, Fed. Sts.",107430,106198,103619,103718
Moldova,3639592,3595187,3562045,3558566
Monaco,32081,33808,36845,37528
Mongolia,2397438,2526447,2712657,2859174
Montenegro,604950,614261,619428,621207
Morocco,28950553,30385479,32107739,33452686
Mozambique,18264536,21126676,24321457,26467180
Myanmar,47669791,49984704,51733013,52983829
Namibia,1897953,2027026,2193643,2346592
Nauru,10042,10115,10025,10125
Nepal,23740145,25506847,26875910,27834981
Netherlands,15925513,16319868,16615394,16804432
New Caledonia,213230,231000,250000,263000
New Zealand,3857700,4133900,4350700,4442100
Nicaragua,5026792,5379327,5737722,5945646
Niger,11224523,13485436,16291990,18358863
Nigeria,122876723,139611303,159424742,172816517
Northern Mariana Islands,68434,64372,53860,53869
Norway,4490967,4623291,4889252,5079623
Oman,2239403,2506891,2943747,3906912
Pakistan,138250487,153356383,170043918,181192646
Palau,19174,19907,20470,20919
Panama,3028751,3319301,3620506,3805683
Papua New Guinea,5374051,6086905,6847517,7308864
Paraguay,5302703,5795493,6209877,6465669
Peru,25914875,27610406,29373644,30565461
Philippines,77932247,86141373,93038902,97571676
Poland,38258629,38165445,38042794,38040196
Portugal,10289898,10503330,10573100,10457295
Puerto Rico,3810605,3821362,3721526,3593079
Qatar,593453,836924,1765513,2101288
Romania,22442971,21319685,20246871,19983693
Russian Federation,146596557,143518523,142849449,143506911
Rwanda,8021875,9008230,10293669,11078095
Samoa,174614,179928,186029,190390
San Marino,27420,29242,30690,31391
Sao Tome and Principe,137164,153146,170880,182386
Saudi Arabia,21392273,24745230,28090647,30201051
Senegal,9860578,11268994,12956791,14221041
Serbia,7516346,7440769,7291436,7164132
Seychelles,81131,82900,89770,89900
Sierra Leone,4060709,5071271,5775902,6178859
Singapore,4027887,4265762,5076732,5399162
Sint Maarten (Dutch part),30519,36934,35474,36607
Slovak Republic,5388720,5372807,5391428,5413393
Slovenia,1988925,2000474,2048583,2059953
Solomon Islands,412336,469306,526177,560685
Somalia,7385416,8466938,9581714,10268157
South Africa,44000000,47270063,50771826,53192216
South Sudan,6692999,8099908,10056475,11453810
Spain,40263216,43653155,46576897,46620045
Sri Lanka,18655000,19373000,20118000,20579000
St. Kitts and Nevis,45544,49139,52352,54301
St. Lucia,156949,165407,177397,182305
St. Martin (French part),28384,27906,30235,31264
St. Vincent and the Grenadines,107897,108749,109316,109327
Sudan,28079664,31990003,36114885,38515095
Suriname,480751,491999,518141,533450
Swaziland,1063715,1104642,1193148,1250641
Sweden,8872109,9029572,9378126,9600379
Switzerland,7184250,7437115,7824909,8089346
Syrian Arab Republic,16354050,18132842,20720602,19322593
Tajikistan,6186152,6805655,7581696,8111894
Tanzania,33991590,39065600,45648525,50213457
Thailand,62693322,65863973,66692024,67451422
Timor-Leste,847185,979201,1066409,1180069
Togo,4874735,5578219,6390851,6928719
Tonga,97898,100858,103947,105139
Trinidad and Tobago,1267980,1296933,1328095,1348240
Tunisia,9552500,10029000,10547100,10886500
Turkey,63240157,67860617,72310416,76223639
Turkmenistan,4501419,4747839,5041995,5240088
Turks and Caicos Islands,18876,26450,30993,33103
Tuvalu,9419,9694,9827,9876
Uganda,23757636,28042413,33149417,36573387
Ukraine,49175848,47105150,45870700,45489600
United Arab Emirates,3050128,4481976,8329453,9039978
United Kingdom,58892514,60401206,62766365,64128226
United States,282162411,295516599,309346863,316427395
Uruguay,3321242,3325608,3374414,3407969
Uzbekistan,24650400,26167000,28562400,30243200
Vanuatu,185058,209375,236299,253165
"Venezuela, RB",24481477,26769115,28995745,30276045
Vietnam,77630900,82392100,86932500,89759500
Virgin Islands (U.S.),108639,107863,106267,104737
West Bank and Gaza,2922153,3320396,3811102,4169506
"Yemen, Rep.",17795219,20504385,23591972,25533217
Zambia,10585220,12043591,13917439,15246086
Zimbabwe,12499981,12984418,13973897,14898092
